"filename", "language", "Java", "comment", "blank", "total"
"c:\Users\edwardo contreras\Desktop\Programs\Java\Mario\server\src\Client.java", "Java", 2, 0, 0, 2
"c:\Users\edwardo contreras\Desktop\Programs\Java\Mario\src\audio\AudioManager.java", "Java", 118, 0, 28, 146
"c:\Users\edwardo contreras\Desktop\Programs\Java\Mario\src\clasesInstanciables\Enemigos\Bowser.java", "Java", 101, -1, 24, 124
"c:\Users\edwardo contreras\Desktop\Programs\Java\Mario\src\clasesInstanciables\Enemigos\BowserFireball.java", "Java", 69, 0, 18, 87
"c:\Users\edwardo contreras\Desktop\Programs\Java\Mario\src\clasesInstanciables\Enemigos\Enemigo.java", "Java", 77, 2, 24, 103
"c:\Users\edwardo contreras\Desktop\Programs\Java\Mario\src\clasesInstanciables\Enemigos\Goomba.java", "Java", -6, 0, -5, -11
"c:\Users\edwardo contreras\Desktop\Programs\Java\Mario\src\clasesInstanciables\Enemigos\Koopa.java", "Java", 10, 1, 7, 18
"c:\Users\edwardo contreras\Desktop\Programs\Java\Mario\src\clasesInstanciables\Enemigos\KoopaVolador.java", "Java", -2, 0, 1, -1
"c:\Users\edwardo contreras\Desktop\Programs\Java\Mario\src\clasesInstanciables\Entidad.java", "Java", 20, 2, 6, 28
"c:\Users\edwardo contreras\Desktop\Programs\Java\Mario\src\clasesInstanciables\EntityManager.java", "Java", 152, 1, 27, 180
"c:\Users\edwardo contreras\Desktop\Programs\Java\Mario\src\clasesInstanciables\Jugador\FuegoProyectil.java", "Java", 79, 0, 25, 104
"c:\Users\edwardo contreras\Desktop\Programs\Java\Mario\src\clasesInstanciables\Jugador\Personaje.java", "Java", 79, 7, 27, 113
"c:\Users\edwardo contreras\Desktop\Programs\Java\Mario\src\clasesInstanciables\PowerUps\Hongo.java", "Java", -39, 0, -12, -51
"c:\Users\edwardo contreras\Desktop\Programs\Java\Mario\src\clasesInstanciables\PowerUps\HongoEnvenenado.java", "Java", -38, -1, -12, -51
"c:\Users\edwardo contreras\Desktop\Programs\Java\Mario\src\clasesInstanciables\PowerUps\Recolectable.java", "Java", -12, 0, -8, -20
"c:\Users\edwardo contreras\Desktop\Programs\Java\Mario\src\clasesInstanciables\PowerUps\Star.java", "Java", -52, -2, -14, -68
"c:\Users\edwardo contreras\Desktop\Programs\Java\Mario\src\clasesInstanciables\Spawner.java", "Java", -3, 0, 0, -3
"c:\Users\edwardo contreras\Desktop\Programs\Java\Mario\src\clasesInstanciables\recolectables\PowerUps\BloqueMisterioso.java", "Java", 76, 0, 17, 93
"c:\Users\edwardo contreras\Desktop\Programs\Java\Mario\src\clasesInstanciables\recolectables\PowerUps\FlorFuego.java", "Java", 41, 0, 11, 52
"c:\Users\edwardo contreras\Desktop\Programs\Java\Mario\src\clasesInstanciables\recolectables\PowerUps\Hongo.java", "Java", 41, 0, 12, 53
"c:\Users\edwardo contreras\Desktop\Programs\Java\Mario\src\clasesInstanciables\recolectables\PowerUps\HongoEnvenenado.java", "Java", 41, 1, 12, 54
"c:\Users\edwardo contreras\Desktop\Programs\Java\Mario\src\clasesInstanciables\recolectables\PowerUps\Moneda.java", "Java", 45, 0, 14, 59
"c:\Users\edwardo contreras\Desktop\Programs\Java\Mario\src\clasesInstanciables\recolectables\PowerUps\Star.java", "Java", 54, 0, 15, 69
"c:\Users\edwardo contreras\Desktop\Programs\Java\Mario\src\clasesInstanciables\recolectables\Recolectable.java", "Java", 22, 0, 11, 33
"c:\Users\edwardo contreras\Desktop\Programs\Java\Mario\src\constantes\Constantes.java", "Java", 13, 0, 11, 24
"c:\Users\edwardo contreras\Desktop\Programs\Java\Mario\src\databases\ArchivoSerializable.java", "Java", -1, 0, 0, -1
"c:\Users\edwardo contreras\Desktop\Programs\Java\Mario\src\game\Game.java", "Java", -8, 0, -1, -9
"c:\Users\edwardo contreras\Desktop\Programs\Java\Mario\src\graficos\GamePanel.java", "Java", 77, 3, 19, 99
"c:\Users\edwardo contreras\Desktop\Programs\Java\Mario\src\graficos\Gui.java", "Java", -9, -9, 0, -18
"c:\Users\edwardo contreras\Desktop\Programs\Java\Mario\src\graficos\HUD.java", "Java", 92, 0, 32, 124
"c:\Users\edwardo contreras\Desktop\Programs\Java\Mario\src\graficos\MenuPanel.java", "Java", 5, 0, 1, 6
"c:\Users\edwardo contreras\Desktop\Programs\Java\Mario\src\graficos\pantallas\InicioSesion.java", "Java", 93, 11, 31, 135
"c:\Users\edwardo contreras\Desktop\Programs\Java\Mario\src\graficos\pantallas\MenuPrincipal.java", "Java", 141, 11, 52, 204
"c:\Users\edwardo contreras\Desktop\Programs\Java\Mario\src\graficos\pantallas\Registro.java", "Java", 124, 11, 40, 175
